Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-06-09 08:00:00+00:00,21792.25,21800.0,21757.5,21793.25,6744
2025-06-09 09:00:00+00:00,21779.75,21794.0,21773.25,21792.25,2918
2025-06-09 10:00:00+00:00,21775.25,21791.0,21763.25,21779.5,3259
2025-06-09 11:00:00+00:00,21810.75,21824.25,21774.0,21774.5,8187
2025-06-09 12:00:00+00:00,21797.0,21818.0,21791.0,21812.0,7265
2025-06-09 13:00:00+00:00,21787.0,21819.75,21756.5,21797.5,49638
2025-06-09 14:00:00+00:00,21842.5,21890.75,21787.0,21787.0,55719
2025-06-09 15:00:00+00:00,21838.5,21869.5,21813.0,21842.5,34311
2025-06-09 16:00:00+00:00,21870.25,21885.0,21815.5,21839.25,28725
2025-06-09 17:00:00+00:00,21867.25,21881.75,21834.25,21870.25,30127
2025-06-09 18:00:00+00:00,21869.25,21879.25,21841.5,21867.5,23641
2025-06-09 19:00:00+00:00,21818.75,21875.25,21814.0,21869.75,49316
2025-06-09 20:00:00+00:00,21822.25,21825.0,21797.0,21818.5,13680
2025-06-09 22:00:00+00:00,21825.25,21847.75,21823.25,21824.0,0
2025-06-09 23:00:00+00:00,21832.5,21838.25,21825.25,21826.5,1647
2025-06-10 00:00:00+00:00,21864.0,21873.0,21815.25,21833.0,4547
2025-06-10 01:00:00+00:00,21966.25,21973.25,21862.75,21863.75,10232
2025-06-10 02:00:00+00:00,21948.5,21968.0,21944.25,21966.0,4246
2025-06-10 03:00:00+00:00,21937.0,21950.5,21933.0,21947.75,2506
2025-06-10 04:00:00+00:00,21917.25,21932.75,21911.75,21930.25,2742
2025-06-10 05:00:00+00:00,21829.0,21931.0,21756.5,21918.0,15771
2025-06-10 06:00:00+00:00,21808.0,21840.0,21805.0,21829.0,5869
2025-06-10 07:00:00+00:00,21796.25,21826.0,21732.25,21808.75,10434
2025-06-10 08:00:00+00:00,21812.25,21821.75,21760.75,21799.75,7189
2025-06-10 09:00:00+00:00,21829.0,21841.75,21805.75,21812.25,3886
2025-06-10 10:00:00+00:00,21840.75,21857.5,21828.5,21828.5,4643
2025-06-10 11:00:00+00:00,21857.75,21858.5,21803.0,21841.75,7056
2025-06-10 12:00:00+00:00,21854.0,21868.0,21847.0,21858.25,7230
2025-06-10 13:00:00+00:00,21857.0,21893.25,21818.0,21854.75,50568
2025-06-10 14:00:00+00:00,21865.5,21890.75,21847.5,21857.25,38246
2025-06-10 15:00:00+00:00,21874.5,21878.5,21743.25,21851.75,59938
2025-06-10 16:00:00+00:00,21909.5,21918.0,21871.75,21874.25,34277
2025-06-10 17:00:00+00:00,21873.0,21931.0,21867.0,21910.0,31553
2025-06-10 18:00:00+00:00,21948.5,21967.25,21820.75,21873.5,49136
2025-06-10 19:00:00+00:00,21964.75,21992.25,21910.75,21949.0,62350
2025-06-10 20:00:00+00:00,21951.0,21969.25,21936.0,21965.0,14715
2025-06-10 22:00:00+00:00,21972.75,21983.75,21937.0,21945.75,0
2025-06-10 23:00:00+00:00,21953.75,22002.75,21916.5,21974.25,5882
2025-06-11 00:00:00+00:00,21914.0,21965.75,21911.0,21954.0,4742
2025-06-11 01:00:00+00:00,21908.0,21923.75,21881.25,21914.0,5304
2025-06-11 02:00:00+00:00,21895.25,21911.5,21891.75,21908.5,2186
2025-06-11 03:00:00+00:00,21907.5,21910.0,21886.25,21894.5,2283
2025-06-11 04:00:00+00:00,21876.5,21915.25,21872.75,21903.0,5029
2025-06-11 05:00:00+00:00,21881.25,21900.25,21866.0,21884.0,7209
2025-06-11 06:00:00+00:00,21896.0,21906.0,21878.25,21881.75,7028
2025-06-11 07:00:00+00:00,21929.0,21934.75,21891.5,21896.75,11690
2025-06-11 08:00:00+00:00,21942.75,21959.5,21919.5,21929.25,10212
2025-06-11 09:00:00+00:00,21916.75,21949.0,21914.5,21943.0,6726
2025-06-11 10:00:00+00:00,21929.25,21937.75,21909.0,21917.75,7548
2025-06-11 11:00:00+00:00,21930.0,21940.25,21882.0,21929.0,12290
2025-06-11 12:00:00+00:00,22028.75,22106.0,21888.5,21931.0,73172
2025-06-11 13:00:00+00:00,21980.75,22041.0,21915.75,22029.75,131440
2025-06-11 14:00:00+00:00,22059.25,22062.0,21973.75,21981.0,108540
2025-06-11 15:00:00+00:00,21993.5,22066.25,21977.0,22058.75,110484
2025-06-11 16:00:00+00:00,21977.5,22006.75,21908.0,21994.25,99616
2025-06-11 17:00:00+00:00,21916.5,22018.5,21910.75,21978.25,78046
2025-06-11 18:00:00+00:00,21861.0,21931.0,21790.75,21917.25,173832
2025-06-11 19:00:00+00:00,21887.5,21892.5,21824.25,21862.25,117562
2025-06-11 20:00:00+00:00,21883.25,21910.75,21870.25,21887.5,24490
2025-06-11 22:00:00+00:00,21836.25,21894.25,21827.25,21871.0,0
2025-06-11 23:00:00+00:00,21837.75,21866.0,21818.0,21834.75,6476
2025-06-12 00:00:00+00:00,21801.75,21849.0,21782.5,21838.75,11820
2025-06-12 01:00:00+00:00,21786.0,21813.5,21754.25,21800.75,10772
2025-06-12 02:00:00+00:00,21785.75,21794.75,21772.0,21787.0,5734
2025-06-12 03:00:00+00:00,21807.25,21824.75,21784.25,21787.0,4588
2025-06-12 04:00:00+00:00,21830.0,21831.25,21802.25,21816.75,1900
2025-06-12 05:00:00+00:00,21828.5,21840.0,21805.75,21829.75,2425
2025-06-12 06:00:00+00:00,21838.5,21847.75,21809.5,21825.0,2546
2025-06-12 07:00:00+00:00,21775.25,21863.25,21751.0,21839.75,7036
2025-06-12 08:00:00+00:00,21799.25,21805.25,21713.25,21775.25,8857
2025-06-12 09:00:00+00:00,21811.25,21843.25,21791.0,21799.5,5744
2025-06-12 10:00:00+00:00,21805.5,21826.0,21759.25,21810.0,6636
2025-06-12 11:00:00+00:00,21739.0,21806.0,21732.0,21804.0,6641
2025-06-12 12:00:00+00:00,21835.5,21847.75,21714.0,21739.0,15429
2025-06-12 13:00:00+00:00,21858.0,21892.5,21818.5,21836.25,45398
2025-06-12 14:00:00+00:00,21934.75,21948.25,21840.5,21857.25,53289
2025-06-12 15:00:00+00:00,21922.5,21977.25,21881.0,21934.5,52642
2025-06-12 16:00:00+00:00,21923.5,21969.75,21901.5,21922.25,46016
2025-06-12 17:00:00+00:00,21937.0,21967.5,21917.0,21924.25,30913
2025-06-12 18:00:00+00:00,21937.25,21950.0,21903.75,21937.75,31128
2025-06-12 19:00:00+00:00,21936.75,21953.0,21893.5,21937.0,40736
2025-06-12 20:00:00+00:00,21909.0,21947.75,21906.25,21938.5,13541
2025-06-12 22:00:00+00:00,21881.0,21915.75,21861.75,21909.0,0
2025-06-12 23:00:00+00:00,21786.75,21889.0,21782.75,21880.5,4620
2025-06-13 00:00:00+00:00,21566.5,21793.5,21524.0,21786.0,25674
2025-06-13 01:00:00+00:00,21612.5,21619.25,21489.0,21566.0,13237
2025-06-13 02:00:00+00:00,21530.25,21614.25,21471.0,21613.25,10096
2025-06-13 03:00:00+00:00,21573.75,21583.0,21525.0,21532.5,6394
2025-06-13 04:00:00+00:00,21543.5,21569.75,21514.0,21542.75,3533
2025-06-13 05:00:00+00:00,21570.25,21570.25,21520.0,21543.75,3205
2025-06-13 06:00:00+00:00,21605.75,21613.25,21565.0,21570.5,6461
2025-06-13 07:00:00+00:00,21636.75,21652.0,21587.25,21607.25,9263
2025-06-13 08:00:00+00:00,21600.25,21664.0,21582.75,21637.5,8419
2025-06-13 09:00:00+00:00,21623.0,21644.0,21577.25,21598.75,8024
2025-06-13 10:00:00+00:00,21652.75,21657.75,21594.5,21622.75,6448
2025-06-13 11:00:00+00:00,21683.75,21702.75,21642.5,21652.5,9583
2025-06-13 12:00:00+00:00,21658.25,21701.25,21643.25,21684.25,12609
2025-06-13 13:00:00+00:00,21729.0,21794.5,21626.0,21659.0,60368
2025-06-13 14:00:00+00:00,21743.5,21770.0,21617.0,21735.25,75402
2025-06-13 15:00:00+00:00,21833.75,21843.0,21735.5,21743.75,53126
2025-06-13 16:00:00+00:00,21827.5,21854.75,21798.75,21833.25,37815
2025-06-13 17:00:00+00:00,21787.75,21834.75,21749.75,21827.25,42728
2025-06-13 18:00:00+00:00,21668.25,21805.25,21601.5,21788.25,66063
2025-06-13 19:00:00+00:00,21652.25,21693.0,21600.25,21668.0,66672
2025-06-13 20:00:00+00:00,21651.25,21679.0,21643.25,21652.75,15586
2025-06-15 22:00:00+00:00,21648.5,21690.0,21501.75,21554.0,6969
2025-06-15 23:00:00+00:00,21689.5,21710.0,21612.25,21649.75,3600
2025-06-16 00:00:00+00:00,21694.5,21704.5,21660.25,21687.25,3112
2025-06-16 01:00:00+00:00,21688.0,21700.0,21666.5,21695.25,1747
2025-06-16 02:00:00+00:00,21705.0,21727.5,21680.25,21688.5,1675
